Iteration;Algorithm;DatasetName;DatasetSize;Time Insere;Counter Comparisons Insere;Time Pesquisa;Counter Comparisons Pesquisa;Time Retira;Counter Comparisons Retira
1;BinarySearchTree;AlmostOrdered;100000;8809.33;7053;17567.4;14102;17671.4;14103
1;BinarySearch;AlmostOrdered;100000;1581.2;6305;15.858;36;8536.61;821
1;LinearSearch;AlmostOrdered;100000;36193;-1404642428;38131.2;-1404642427;15.958;26
1;TreapTree;Random;100000;37.547;19;31.419;21;33.424;19
1;AVLTree;Random;100000;30.566;59;22.883;40;28.849;55
1;RedBlackTree;Random;100000;49.278;81;22.768;40;33.373;64
1;BinarySearchTree;Random;100000;9281.04;7053;18138.1;14102;18607.5;14103
1;BinarySearch;Random;100000;6780.74;-1404644049;21.832;36;5752.43;-1404643985
1;LinearSearch;Random;100000;62.449;54;68.601;55;53.161;51
1;TreapTree;Ordered;1000000;264.235;13;238.58;25;93.389;12
1;AVLTree;Ordered;1000000;196.979;82;164.542;47;123.29;47
1;RedBlackTree;Ordered;1000000;816.249;201;211.188;49;347.652;89
1;BinarySearchTree;Ordered;1000000;926350;1787;1.81288e+06;-140463336;1.8531e+06;-140463335
1;BinarySearch;Ordered;1000000;137.11;40;168.708;44;1.15798e+06;1836
